you	ˈju
jerking	ˈdʒɝkɪŋ
engaging	ɛˈnɡeɪdʒɪŋ
accountable	əˈkaʊntəbəl
piles	ˈpaɪlz
intro	ˈɪntɹoʊ
rescuing	ˈɹɛskjuɪŋ
orgy	ˈɔɹdʒi
zane	ˈzeɪn
jaguar	ˈdʒæˌɡwɑɹ
prue	ˈpɹu
concerts	ˈkɑnsɚts
schemes	ˈskimz
abusing	əˈbjuzɪŋ
fatigue	fəˈtiɡ
taj	ˈtɑʒ
charitable	ˈtʃæɹətəbəl
lili	ˈlɪli
attracts	əˈtɹækts
stirred	ˈstɝd
invaders	ˌɪˈnveɪdɚz
wench	ˈwɛntʃ
kittens	ˈkɪtənz
riggs	ˈɹɪɡz
gras	ˈɡɹæs
heartbroken	ˈhɑˌɹtbɹoʊkən
suffocating	ˈsʌfəˌkeɪtɪŋ
youse	ˈjaʊs
underage	ˈʌndɚɪdʒ
amar	əˈmɑɹ
bugged	ˈbʌɡd
dimitri	dɪˈmitɹi
klinger	ˈklɪŋɚ
metropolitan	ˌmɛtɹəˈpɑlətən
unions	ˈjunjənz
cds	ˌsiˈdiz
hamster	ˈhæmstɚ
omelet	ˈɑmlət
humility	hjuˈmɪlɪti
grad	ˈɡɹæd
obedience	oʊˈbidiəns
grub	ˈɡɹʌb
victorian	vɪˈktɔɹiən
lassie	ˈlæsi
posed	ˈpoʊzd
conway	ˈkɑˌnweɪ
resentment	ɹɪˈzɛntmənt
didi	ˈdidi
locke	ˈlɑk
dat	ˈdæt
booming	ˈbumɪŋ
aunts	ˈænts
shay	ˈʃeɪ
brigadier	ˌbɹɪɡəˈdɪɹ
intrusion	ˌɪˈntɹuʒən
hedgehog	ˈhɛˌdʒhɑɡ
recipes	ˈɹɛsəpiz
tacky	ˈtæki
physicist	ˈfɪzɪsɪst
yonder	ˈjɑndɚ
admiring	æˈdmaɪɹɪŋ
anyplace	ˈɛniˌpleɪs
forfeit	ˈfɔɹfɪt
lullaby	ˈlʌləˌbaɪ
oasis	oʊˈeɪsɪs
unleash	əˈnliʃ
indifferent	ˌɪˈndɪfɹənt
boxers	ˈbɑksɚz
truthfully	ˈtɹuθfəli
actresses	ˈæktɹəsɪz
grin	ˈɡɹɪn
arranging	ɚˈeɪndʒɪŋ
voila	ˌvwɑˈlɑ
hydra	ˈhaɪdɹə
shutters	ˈʃʌtɚz
pearson	ˈpɪɹsən
genesis	ˈdʒɛnəsəs
daria	ˈdɑɹiə
energetic	ˌɛnɚˈdʒɛtɪk
postal	ˈpoʊstəl
henrik	ˈhɛnɹɪk
aloud	əˈlaʊd
archive	ˈɑˌɹkaɪv
nauseous	ˈnɔʃəs
funniest	ˈfʌniəst
muse	ˈmjuz
ernst	ˈɝnst
constitutional	ˌkɑnstəˈtuʃənəl
recital	ɹəˈsaɪtəl
covenant	ˈkʌvənənt
cloudy	ˈklaʊdi
prestige	pɹɛˈstiʒ
olivier	ˌoʊˈlɪˌviˌeɪ
pencils	ˈpɛnsəlz
gunnar	ˈɡʌnɚ
helper	ˈhɛlpɚ
decks	ˈdɛks
astray	əˈstɹeɪ
leland	ˈlilənd
ip	ˈaɪˈpi
casing	ˈkeɪsɪŋ
cooing	ˈkuɪŋ
ozzy	ˈɑˌzi
sterile	ˈstɛɹəl
bagel	ˈbeɪɡəl
releases	ɹɪˈlisɪz
recognizes	ˈɹɛkəˌɡnaɪzəz
intimidate	ˌɪˈntɪmɪˌdeɪt
forgery	ˈfɔɹdʒɚi
kenya	ˈkɛnjə
bred	ˈbɹɛd
dunn	ˈdʌn
vector	ˈvɛktɚ
huck	ˈhʌk
nausea	ˈnɔziə
sakura	sæˈkʊˌɹɑ
detonate	ˈdɛtəˌneɪt
lenin	ˈlɛnən
inhuman	ˌɪˈnhjumən
horsepower	ˈhɔˌɹspaʊɚ
violating	ˈvaɪəleɪtɪŋ
pascal	pæˈskæl
informer	ˌɪˈnfɔɹmɚ
plugged	ˈplʌɡd
oriental	ˌɔɹiˈɛntəl
pretends	pɹiˈtɛndz
tram	ˈtɹæm
reyes	ˈɹeɪɪs
spoils	ˈspɔɪlz
chaplain	ˈtʃæplən
farce	ˈfɑɹs
parasites	ˈpɛɹəˌsaɪts
whipping	ˈwɪpɪŋ
cruising	ˈkɹuzɪŋ
violently	ˈvaɪələntli
tile	ˈtaɪl
ashtray	ˈæˌʃtɹeɪ
und	ˈʌnd
zones	ˈzoʊnz
donut	ˈdoʊˌnʌt
nobility	noʊˈbɪləti
decoration	ˌdɛkɚˈeɪʃən
sharpe	ˈʃɑɹp
scoot	ˈskut
kelso	ˈkɛlsoʊ
abdominal	æˈbdɑmənəl
updated	əˈpdeɪtɪd
blueprints	ˈbluˌpɹɪnts
dealings	ˈdilɪŋz
pitched	ˈpɪtʃt
resource	ˈɹisɔɹs
coalition	ˌkoʊəˈlɪʃən
hoss	ˈhɑs
professors	pɹəˈfɛsɚz
espionage	ˈɛspiənɑdʒ
dishwasher	ˈdɪˌʃwɑʃɚ
minded	ˈmaɪndəd
cheyenne	ʃaɪˈɛn
resulted	ɹɪˈzʌltɪd
brewster	ˈbɹustɚ
wrestler	ˈɹɛsəlɚ
cons	ˈkɑnz
protesting	pɹəˈtɛstɪŋ
barbarians	bɑˈɹbɛɹiənz
loony	ˈluni
kangaroo	ˌkæŋɡɚˈu
rite	ˈɹaɪt
dialect	ˈdaɪəˌlɛkt
counsellor	ˈkaʊnsəlɚ
tsunami	tsuˈnɑmi
locket	ˈlɑkɪt
sorcerer	ˈsɔɹsɚɚ
pilgrims	ˈpɪlɡɹəmz
incorrect	ˌɪnkɚˈɛkt
parameters	pɚˈæmətɚz
risotto	ˌɹiˈsɔˌtoʊ
unreliable	ˌʌnɹɪˈlaɪəbəl
geniuses	ˈdʒinjəsɪz
agricultural	ˌæɡɹəˈkʌltʃɚəl
willard	ˈwɪlɚd
marital	ˈmɛɹətəl
wilkes	ˈwɪlks
scramble	ˈskɹæmbəl
hera	ˈhɪɹə
swears	ˈswɛɹz
starvation	stɑˈɹveɪʃən
summons	ˈsʌmənz
aquarium	əˈkwɛɹiəm
flavors	ˈfleɪvɚz
sanity	ˈsænəti
roxanne	ˈɹɑksɪn
caste	ˈkæst
wedge	ˈwɛdʒ
bedside	ˈbɛˌdsaɪd
experimenting	ɛˈkspɛɹəˌmɛntɪŋ
truths	ˈtɹuθs
tribunal	tɹəˈbjunəl
emerson	ˈɛmɚsən
darlene	ˈdɑˌɹlin
automated	ˈɔtəˌmeɪtɪd
treachery	ˈtɹɛtʃɚi
explorer	ɪˈksplɔɹɚ
greens	ˈɡɹinz
dunk	ˈdʌŋk
amused	əˈmjuzd
fishes	ˈfɪʃəz
kappa	ˈkæpə
oleg	ˈoʊləɡ
goblin	ˈɡɑblɪn
appreciates	əˈpɹiʃiˌeɪts
lark	ˈlɑɹk
commissioned	kəˈmɪʃənd
reassuring	ˌɹiəˈʃʊɹɪŋ
disclose	dɪˈskloʊz
seaside	ˈsiˌsaɪd
politely	pəˈlaɪtli
preoccupied	pɹiˈɑkjəˌpaɪd
incense	ˌɪˈnsɛns
folly	ˈfɑli
pear	ˈpɛɹ
vikings	ˈvaɪkɪŋz
irs	ˈaɪˌɑˈɹɛs
lavender	ˈlævəndɚ
graceful	ˈɡɹeɪsfəl
stretcher	ˈstɹɛtʃɚ
grande	ˈɡɹænd
simulation	ˌsɪmjəˈleɪʃən
lasers	ˈleɪzɚz
groovy	ˈɡɹuvi
discussions	dɪˈskʌʃənz
basin	ˈbeɪsən
sacrificing	ˈsækɹəˌfaɪsɪŋ
luncheon	ˈlʌntʃən
disobey	ˌdɪsəˈbeɪ
snot	ˈsnɔt
mil	ˈmɪl
sinful	ˈsɪnfəl
yearning	ˈjɝnɪŋ
gruesome	ˈɡɹusəm
aide	ˈeɪd
shen	ˈʃɛn
masculine	ˈmæskjələn
mortimer	ˈmɔɹtɪmɚ
extras	ˈɛkstɹəz
hopper	ˈhɑpɚ
guides	ˈɡaɪdz
banjo	ˈbæˌndʒoʊ
dina	ˈdinə
camelot	ˈkæməˌlɑt
blazing	ˈbleɪzɪŋ
dos	ˈdɔs
crowned	ˈkɹaʊnd
gonzalo	ɡɑˈnzɑloʊ
painkillers	ˈpeɪˌnkɪlɚz
rave	ˈɹeɪv
foley	ˈfoʊli
silvia	ˈsɪlviə
sylvie	ˈsɪlvi
cassette	kəˈsɛt
sorting	ˈsɔɹtɪŋ
misplaced	mɪˈspleɪst
sprung	ˈspɹʌŋ
prehistoric	ˌpɹihɪˈstɔɹɪk
howls	ˈhaʊlz
enterprises	ˈɛntɚˌpɹaɪzɪz
designing	dɪˈzaɪnɪŋ
suspense	səˈspɛns
patti	ˈpæti
japs	ˈdʒæps
renounce	ɹɪˈnaʊns
paints	ˈpeɪnts
relying	ɹiˈlaɪɪŋ
rendered	ˈɹɛndɚd
herald	ˈhɛɹəld
randomly	ˈɹændəmli
stylish	ˈstaɪlɪʃ
spleen	ˈsplin
mugged	ˈmʌɡd
investing	ˌɪˈnvɛstɪŋ
protestant	ˈpɹɑtəstənt
circumstantial	ˌsɝkəˈmstænʃəl
smear	ˈsmɪɹ
pantry	ˈpæntɹi
guiding	ˈɡaɪdɪŋ
hollis	ˈhɑlɪs
cursing	ˈkɝsɪŋ
erection	ɪˈɹɛkʃən
gravel	ˈɡɹævəl
artifact	ˈɑɹtəˌfækt
raccoon	ɹæˈkun
classics	ˈklæsɪks
enlighten	ˌɛˈnlaɪtən
enhance	ɛˈnhæns
delivers	dɪˈlɪvɚz
spinach	ˈspɪnətʃ
binding	ˈbaɪndɪŋ
goldman	ˈɡoʊldmən
invalid	ˈɪnvələd
touring	ˈtʊɹɪŋ
johns	ˈdʒɑnz
fashioned	ˈfæʃənd
gilmore	ˈɡɪlmɔɹ
spilling	ˈspɪlɪŋ
ledger	ˈlɛdʒɚ
quieter	ˈkwaɪətɚ
meadows	ˈmɛˌdoʊz
majestic	məˈdʒɛstɪk
frequencies	ˈfɹikwənsiz
zhou	ˈʒu
historian	hɪˈstɔɹiən
containers	kəˈnteɪnɚz
marisa	məˈɹɪsə
diplomat	ˈdɪpləˌmæt
wrinkles	ˈɹɪŋkəlz
aryan	ˈɑɹiən
para	ˈpɛɹə
nationals	ˈnæʃənəlz
natalia	nəˈtɑljə
rudolph	ˈɹudɔlf
palestine	ˈpæləˌstaɪn
insulin	ˈɪnsələn
torpedoes	tɔˈɹpidoʊz
pagan	ˈpeɪɡən
swimmer	ˈswɪmɚ
disgraced	dɪˈsɡɹeɪst
bygones	ˈbaɪˌɡɔnz
intellect	ˈɪntəˌlɛkt
accommodate	əˈkɑməˌdeɪt
posture	ˈpɑstʃɚ
adjusting	əˈdʒʌstɪŋ
giraffe	dʒɚˈæf
peer	ˈpɪɹ
petersburg	ˈpitɚzbɚɡ
religions	ɹiˈlɪdʒənz
hammering	ˈhæmɚɪŋ
audiences	ˈɑdiənsəz
ruben	ˈɹubən
gigs	ˈɡɪɡz
damaging	ˈdæmɪdʒɪŋ
colossal	kəˈlɑsəl
renew	ɹɪˈnu
iceberg	ˈaɪsbɚɡ
vigilante	ˌvɪdʒəˈlænti
emile	eɪˈmil
dougie	ˈduɡi
biggie	ˈbɪɡi
pietro	piˈɛtɹoʊ
chewed	ˈtʃud
cellular	ˈsɛljəlɚ
indecent	ˌɪˈndisənt
dangerously	ˈdeɪndʒɚəsli
duane	ˈdweɪn
bribed	ˈbɹaɪbd
rascals	ˈɹæskəlz
chai	ˈtʃaɪ
ramona	ɹəˈmoʊnə
grammar	ˈɡɹæmɚ
thrash	ˈθɹæʃ
hutch	ˈhʌtʃ
runners	ˈɹʌnɚz
pager	ˈpeɪdʒɚ
stumble	ˈstʌmbəl
dispatcher	dɪˈspætʃɚ
thankyou	ˈθæˈŋkju
stump	ˈstʌmp
wraps	ˈɹæps
gator	ˈɡeɪtɚ
teammates	ˈtiˌmmeɪts
skye	ˈskaɪ
weakest	ˈwikəst
disconnect	dɪskəˈnɛkt
melts	ˈmɛlts
morally	ˈmɔɹəli
feud	ˈfjud
apiece	əˈpis
theatrical	θiˈætɹɪkəl
distinguish	dɪˈstɪŋɡwɪʃ
cooperating	koʊˈɑpɚˌeɪtɪŋ
passions	ˈpæʃənz
strive	ˈstɹaɪv
flourish	ˈflɝɪʃ
reeves	ˈɹivz
unnecessarily	əˈnnɛsəˌsɛɹəli
janie	ˈdʒeɪni
perceive	pɚˈsiv
upstate	ˈʌˈpsteɪt
accuracy	ˈækjɚəsi
cosmo	ˈkɔzmoʊ
bitterness	ˈbɪtɚnəs
fundraiser	ˈfʌˌndɹeɪzɚ
reflects	ɹɪˈflɛkts
insolent	ˈɪnsələnt
strauss	ˈstɹaʊs
circular	ˈsɝkjəlɚ
generated	ˈdʒɛnɚˌeɪtəd
rumble	ˈɹʌmbəl
pilgrim	ˈpɪlɡɹəm
squirrels	ˈskwɝəlz
purge	ˈpɝdʒ
mingle	ˈmɪŋɡəl
manufacture	ˌmænjəˈfæktʃɚ
firemen	ˈfaɪɹmən
casually	ˈkæʒəwəli
handler	ˈhændlɚ
hobbs	ˈhɑbz
slain	ˈsleɪn
phd	ˈpiˌeɪˈtʃdi
multiply	ˈmʌltəˌplaɪ
confinement	kəˈnfaɪnmənt
patches	ˈpætʃəz
divert	daɪˈvɝt
alfonso	ˌæˈlfɑnsoʊ
protests	ˈpɹoʊˌtɛsts
versions	ˈvɝʒənz
ambrose	ˈæˌmbɹoʊz
adriana	ˌeɪdɹiˈænə
ia	ˈiə
mit	ˈɛˈmaɪˈti
youthful	ˈjuθfəl
numbered	ˈnʌmbɚd
mustafa	muˈstɑfə
herbal	ˈɝbəl
kathryn	ˈkæθɹɪn
gunther	ˈɡʌnθɚ
lawful	ˈlɔfəl
stacked	ˈstækt
damian	ˈdeɪmiən
reasonably	ˈɹizənəbli
suzuki	səˈzuki
myra	ˈmaɪɹə
logged	ˈlɔɡd
prospects	ˈpɹɑspɛkts
mainstream	ˈmeɪˌnstɹim
sykes	ˈsaɪks
alimony	ˈæləˌmoʊni
stating	ˈsteɪtɪŋ
budapest	ˈbudəˌpɛst
nelly	ˈnɛli
awakened	əˈweɪkənd
curses	ˈkɝsɪz
ore	ˈɔɹ
slices	ˈslaɪsəz
curl	ˈkɝl
uprising	əˈpɹaɪzɪŋ
cabaret	ˌkæbɚˈeɪ
manufacturer	ˌmænjəˈfæktʃɚɚ
ration	ˈɹæʃən
boulder	ˈboʊldɚ
manpower	ˈmæˌnpaʊɚ
badges	ˈbædʒɪz
mush	ˈmʌʃ
recycling	ɹiˈsaɪkəlɪŋ
disarm	dɪˈsɑɹm
elusive	ɪˈlusɪv
snarls	ˈsnɑɹlz
chiu	ˈtʃu
flawless	ˈflɔləs
considers	kəˈnsɪdɚz
harmful	ˈhɑɹmfəl
horseback	ˈhɔˌɹsbæk
owens	ˈoʊənz
admits	əˈdmɪts
morales	mɚˈælz
helene	həˈlin
thankfully	ˈθæŋkfəli
recreate	ˈɹɛkɹiˌeɪt
travelers	ˈtɹævəlɚz
navigate	ˈnævəˌɡeɪt
pun	ˈpʌn
ethnic	ˈɛθnɪk
kono	ˈkoʊnoʊ
esteemed	ɪˈstimd
exterior	ɪˈkstɪɹiɚ
duffy	ˈdʌfi
triad	ˈtɹaɪˌæd
licensed	ˈlaɪsənst
gems	ˈdʒɛmz
moira	ˈmɔɪɹə
mutants	ˈmjutənts
testifying	ˈtɛstəˌfaɪɪŋ
dissolve	dɪˈzɑlv
iraqi	ˌɪˈɹæki
robes	ˈɹoʊbz
wildest	ˈwaɪldɪst
portfolio	pɔˈɹtfoʊliˌoʊ
tossing	ˈtɔsɪŋ
pussycat	ˈpʊsiˌkæt
booby	ˈbubi
nbc	ˈɛˌnbiˈsi
simms	ˈsɪmz
knack	ˈnæk
lodged	ˈlɑdʒd
lei	ˈleɪ
racism	ˈɹeɪˌsɪzəm
nato	ˈneɪtoʊ
mayo	ˈmeɪoʊ
gillian	ˈdʒɪliən
stingy	ˈstɪndʒi
kaiser	ˈkaɪzɚ
shooters	ˈʃutɚz
napkins	ˈnæpkɪnz
continents	ˈkɑntənənts
registry	ˈɹɛdʒɪstɹi
fags	ˈfæɡz
shah	ˈʃɑ
blinking	ˈblɪŋkɪŋ
duo	ˈduoʊ
gymnastics	dʒɪˈmnæstɪks
bernadette	bɚnəˈdɛt
valiant	ˈvæljənt
exploited	ˈɛˌksplɔɪtəd
attachment	əˈtætʃmənt
trans	ˈtɹænz
intruders	ˌɪˈntɹudɚz
owning	ˈoʊnɪŋ
mega	ˈmɛɡə
crispy	ˈkɹɪspi
administrative	əˈdmɪnəˌstɹeɪtɪv
hawks	ˈhɔks
crave	ˈkɹeɪv
qu	ˈku
reviewed	ɹiˈvjud
persuasive	pɚˈsweɪsɪv
turmoil	ˈtɝˌmɔɪl
promoting	pɹəˈmoʊtɪŋ
shoving	ˈʃʌvɪŋ
bette	ˈbɛti
unworthy	əˈnwɝði
elevators	ˈɛləˌveɪtɚz
fulfilling	fʊˈlfɪlɪŋ
ronny	ˈɹɑni
rooting	ˈɹutɪŋ
irma	ˈɝmə
mcqueen	məˈkwin
stoop	ˈstup
ee	ˈi
greer	ˈɡɹɪɹ
panicking	ˈpænɪkɪŋ
panels	ˈpænəlz
demonstrated	ˈdɛməˌnstɹeɪtɪd
myths	ˈmɪθs
mattie	ˈmæti
volleyball	ˈvɑliˌbɔl
cheats	ˈtʃits
chord	ˈkɔɹd
berkeley	ˈbɝkli
oblige	əˈblaɪdʒ
radiant	ˈɹeɪˌdiənt
anticipation	æˌntɪsəˈpeɪʃən
fibers	ˈfaɪbɚz
aroused	ɚˈaʊzd
paralysis	pɚˈæləsəs
ferocious	fɚˈoʊʃəs
heinous	ˈheɪnəs
roulette	ɹuˈlɛt
emergencies	ɪˈmɝdʒənsiz
olaf	ˈoʊlɑf
enjoyable	ˌɛˈndʒɔɪəbəl
torso	ˈtɔˌɹsoʊ
compassionate	kəˈmpæʃənət
softer	ˈsɑftɚ
delegation	ˌdɛləˈɡeɪʃən
fangs	ˈfæŋz
plaque	ˈplæk
alonso	əˈlɑnsoʊ
moi	ˈmwɑ
bowman	ˈboʊmən
uterus	ˈjutɚəs
buggy	ˈbʌɡi
kristina	kɹɪˈstinə
denies	dɪˈnaɪz
tally	ˈtæli
unusually	əˈnjuˌʒuəli
tibet	təˈbɛt
fez	ˈfɛz
charcoal	ˈtʃɑˌɹkoʊl
healer	ˈhilɚ
weirdest	ˈwɪɹdəst
eel	ˈil
recordings	ɹɪˈkɔɹdɪŋz
tamil	təˈmɪl
naw	ˈnɑ
camouflage	ˈkæməˌflɑʒ
seagulls	ˈsiˌɡʌlz
hub	ˈhʌb
mailman	ˈmeɪˌlmæn
buckley	ˈbʌkli
furry	ˈfɝi
pronto	ˈpɹɑntoʊ
sedan	səˈdæn
kermit	ˈkɝmɪt
amir	əˈmɪɹ
edible	ˈɛdəbəl
trifle	ˈtɹaɪfəl
delusion	dɪˈluʒən
foundations	faʊˈndeɪʃənz
calcutta	ˌkæˈlkʌtə
cubes	ˈkjubz
colon	ˈkoʊlən
crotch	ˈkɹɑtʃ
tariq	ˌtɑˈɹik
costing	ˈkɔstɪŋ
resisted	ɹɪˈzɪstɪd
leila	ˈlilə
snail	ˈsneɪl
ursula	ˈɝsələ
strippers	ˈstɹɪpɚz
vista	ˈvɪstə
fiend	ˈfind
ultra	ˈʌltɹə
restrain	ɹiˈstɹeɪn
pinkie	ˈpɪŋki
voluntary	ˈvɑləntɛɹi
widely	ˈwaɪdli
uncommon	əˈnkɑmən
blackie	ˈblæki
farrell	ˈfɛɹɪl
infiltrate	ˈɪnfɪˌltɹeɪt
erika	ˈɛɹɪkə
sophomore	ˈsɑˌfmɔɹ
radios	ˈɹeɪdiˌoʊz
ringo	ˈɹiŋɡoʊ
medallion	məˈdæljən
eiffel	ˈaɪfəl
yamato	jɑˈmɑtoʊ
wilder	ˈwaɪldɚ
dyke	ˈdaɪk
bailiff	ˈbeɪləf
peril	ˈpɛɹəl
plaintiff	ˈpleɪntəf
emilia	əˈmiliə
transmitted	tɹæˈnsmɪtɪd
bonnet	ˈbɑnət
assassinated	əˈsæsəˌneɪtɪd
emptiness	ˈɛmptinəs
helmets	ˈhɛlməts
normandy	ˈnɔɹməndi
cheetah	ˈtʃitə
clips	ˈklɪps
thicker	ˈθɪkɚ
whiz	ˈwɪz
saga	ˈsɑɡə
bullock	ˈbʊlək
binoculars	bəˈnɑkjəlɚz
accord	əˈkɔɹd
diva	ˈdivə
jeanette	dʒəˈnɛt
birmingham	ˈbɝmɪˌŋhæm
concierge	ˌkɑnsiˈɛɹʒ
clams	ˈklæmz
questionable	ˈkwɛstʃənəbəl
volunteering	ˌvɔləˈntɪɹɪŋ
lunches	ˈlʌntʃɪz
spooked	ˈspukt
pinpoint	ˈpɪˌnpɔɪnt
hereafter	hɪˈɹæftɚ
brook	ˈbɹʊk
weakened	ˈwikənd
verses	ˈvɝsəz
marshals	ˈmɑɹʃəlz
deposited	dəˈpɑzɪtɪd
cleans	ˈklinz
ironically	aɪˈɹɑnɪkli
bodily	ˈbɑdəli
distances	ˈdɪstənsəz
hypnosis	hɪˈpnoʊsəs
secretive	ˈsikɹətɪv
dominion	dəˈmɪnjən
civic	ˈsɪvɪk
tori	ˈtɔɹi
bursts	ˈbɝsts
uncertainty	əˈnsɝtənti
streams	ˈstɹimz
vortex	ˈvɔɹtɛks
tights	ˈtaɪts
sponsors	ˈspɑnsɚz
tickles	ˈtɪkəlz
cello	ˈtʃɛloʊ
herring	ˈhɛɹɪŋ
ab	ˈæb
disability	ˌdɪsəˈbɪlɪti
griffith	ˈɡɹɪfəθ
orchid	ˈɔɹkəd
hostility	hɑˈstɪləti
conflicts	kəˈnflɪkts
pans	ˈpænz
housekeeping	ˈhaʊˌskipɪŋ
panthers	ˈpænθɚz
wonderland	ˈwʌndɚˌlænd
ruiz	ɹuˈiz
interrogated	ˌɪˈntɛɹəˌɡeɪtɪd
andromeda	æˈndɹɑmədə
premium	ˈpɹimiəm
broccoli	ˈbɹɑkəli
garfield	ˈɡɑˌɹfild
mussolini	ˌmusoʊˈlini
pottery	ˈpɑtɚi
shrapnel	ˈʃɹæpnəl
planner	ˈplænɚ
jacked	ˈdʒækt
robyn	ˈɹɑbɪn
rounded	ˈɹaʊndəd
giuseppe	dʒɪˈsɛpi
cactus	ˈkæktəs
motherland	ˈmʌðɚˌlænd
defendants	dɪˈfɛndənts
wilt	ˈwɪlt
jia	ˈdʒiə
executives	ɪˈɡzɛkjətɪvz
spoons	ˈspunz
belinda	bəˈlɪndə
unbelievably	ˌʌnbəˈlivəbli
fairness	ˈfɛɹnəs
continuously	kəˈntɪnjuəsli
spices	ˈspaɪsəz
organisms	ˈɔɹɡəˌnɪzəmz
regretted	ɹɪˈɡɹɛtɪd
monarch	ˈmɑˌnɑɹk
narrative	ˈnæɹətɪv
roth	ˈɹɔθ
catcher	ˈkæˌtʃɝ
dictatorship	dɪˈkteɪtɚˌʃɪp
controversy	ˈkɑntɹəˌvɝsi
manu	ˈmɑˌnu
alejandro	ɑleɪˈjɑndɹoʊ
josef	ˈdʒoʊsəf
dignified	ˈdɪɡnəˌfaɪd
bonded	ˈbɑndəd
tilt	ˈtɪlt
beginnings	bɪˈɡɪnɪŋz
peaks	ˈpiks
tissues	ˈtɪˌsjuz
pretentious	pɹiˈtɛnʃəs
dell	ˈdɛl
jeopardize	ˈdʒɛpɚˌdaɪz
osborne	ˈɔˌzbɔɹn
diversity	dɪˈvɝsɪti
shabby	ˈʃæbi
brownies	ˈbɹaʊniz
overdo	ˈoʊvɚˈdu
sharma	ˈʃɑɹmə
crunching	ˈkɹʌntʃɪŋ
tel	ˈtɛl
marnie	ˈmɑɹni
separating	ˈsɛpɚˌeɪtɪŋ
horrid	ˈhɔɹəd
overrated	ˌoʊvɚˈɹeɪtɪd
harmon	ˈhɑɹmən
rethink	ɹiˈθɪŋk
mastered	ˈmæstɚd
reopen	ɹiˈoʊpən
camels	ˈkæməlz
tux	ˈtʌks
denis	ˈdɛnɪs
depended	dɪˈpɛndəd
tak	ˈtæk
whine	ˈwaɪn
axis	ˈæksəs
orchard	ˈɔɹtʃɚd
cherries	ˈtʃɛɹiz
pleasing	ˈplizɪŋ
unforgivable	ˌʌnfɔˈɹɡɪvəbəl
craziest	ˈkɹeɪziəst
rods	ˈɹɑdz
distressed	dɪˈstɹɛst
bubbling	ˈbʌbəlɪŋ
interact	ˌɪntɚˈækt
manipulating	məˈnɪpjəˌleɪtɪŋ
rewind	ˈɹiwaɪnd
burgundy	ˈbɝɡəndi
blacked	ˈblækt
trillion	ˈtɹɪljən
onwards	ˈɑnwɚdz
reservoir	ˈɹɛzəˌvwɑɹ
participation	pɑˌɹtɪsəˈpeɪʃən
caucasian	kɔˈkeɪʒən
flushing	ˈflʌʃɪŋ
serbian	ˈsɝbiən
manhood	ˈmæˌnhʊd
lao	ˈlaʊ
matilda	məˈtɪldə
exhale	ɛˈksheɪl
dinah	ˈdaɪnə
caramel	ˈkɛɹəməl
slander	ˈslændɚ
identifying	aɪˈdɛntəˌfaɪɪŋ
drunkard	ˈdɹʌŋkɚd
blooming	ˈblumɪŋ
stocking	ˈstɑkɪŋ
rinse	ˈɹɪns
artwork	ˈɑˌɹtwɝk
catholics	ˈkæθlɪks
stormy	ˈstɔɹmi
refresh	ɹɪˈfɹɛʃ
elisa	əˈlisə
cor	ˈkɔɹ
floats	ˈfloʊts
expanded	ɪˈkspændəd
chilling	ˈtʃɪlɪŋ
congo	ˈkɑŋɡoʊ
afghan	ˈæˌfɡæn
backside	ˈbæˌksaɪd
antarctica	ˌæˈntɑɹktɪkə
sandals	ˈsændəlz
investigative	ˌɪˈnvɛstəˌɡeɪtɪv
wills	ˈwɪlz
searches	ˈsɝtʃɪz
yawns	ˈjɔnz
collaboration	kəˌlæbɚˈeɪʃən
untouched	əˈntʌtʃt
psyched	ˈsaɪkt
hussein	huˈseɪn
departments	dɪˈpɑɹtmənts
tuxedo	ˌtʌˈksidoʊ
mak	ˈmæk
bummed	ˈbʌmd
heinrich	ˈhaɪnɹɪk
finer	ˈfaɪnɚ
manure	məˈnʊɹ
compatible	kəˈmpætəbəl
moor	ˈmʊɹ
keg	ˈkɛɡ
monsignor	mɑˈnsinjɚ
peeled	ˈpild
dona	ˈdoʊnə
stings	ˈstɪŋz
seeker	ˈsikɚ
watering	ˈwɔtɚɪŋ
ids	ˈaɪˈdiz
malaria	məˈlɛɹiə
walters	ˈwɔltɚz
sinatra	səˈnɑtɹə
lending	ˈlɛndɪŋ
dodgers	ˈdɑdʒɚz
fortnight	ˈfɔˌɹtnaɪt
reassure	ˌɹiəˈʃʊɹ
braun	ˈbɹɔn
meddling	ˈmɛdəlɪŋ
overthrow	ˈoʊvɚˌθɹoʊ
postmortem	ˌpoʊˈstmɔɹtɛm
achievements	əˈtʃivmənts
excellence	ˈɛksələns
latch	ˈlætʃ
coppers	ˈkɑpɚz
raids	ˈɹeɪdz
dickens	ˈdɪkənz
drifted	ˈdɹɪftəd
leeds	ˈlidz
obsessive	əˈbsɛsɪv
upwards	ˈʌpwɚdz
lynette	ˌlaɪˈnɛt
oatmeal	ˈoʊˌtmil
midday	ˈmɪˌddeɪ
implants	ˌɪˈmplænts
unmarried	əˈnmɛɹid
sewers	ˈsuɚz
bowie	ˈboʊi
mercenary	ˈmɝsəˌnɛɹi
perks	ˈpɝks
outrun	aʊˈtɹʌn
copying	ˈkɑpiɪŋ
upload	ˈʌˌploʊd
freya	ˈfɹeɪə
helga	ˈhɛlɡə
shu	ˈʃu
bumping	ˈbʌmpɪŋ
inland	ˈɪˌnlænd
yorkshire	ˈjɔɹkʃɚ
